engine,nox_c,nox_p,co_beta,co_gamma,co_max,co_min,hc_na,hc_max,hc_min,hc_ff85,hc_beta,hc_gamma,hc_a1,hc_b1,hc_b2
CFM56-5B2/2P,18.866,1.07999,13.8799,0.458555,71,1.15,False,6.6,0.1,0,4.44823,-0.290823,,,
CFM56-5B2/3,20.8334,0.784696,0.9291,1.63832,53.44,0.34,False,2.44,0.03,0,0.133373,2.84357,,,
CFM56-5B2/P,26.2911,0.859404,0.85389,1.56985,39,0.85,False,7.2,0.15,0,0.916073,1.05121,,,
CFM56-5B3/2P,19.0572,1.14013,12.718,0.48729,69,0.95,False,5.8,0.1,0,3.99101,-0.27207,,,
CFM56-5B3/3,21.3665,0.829718,0.92094,1.64023,51.18,0.395,False,2.2,0.035,0,0.165647,2.57798,,,
CFM56-5B3/P,26.5862,0.872663,0.80696,1.61917,38.4,0.85,False,7,0.15,0,0.959005,0.995131,,,
CFM56-5B4,24.8227,0.815551,0.694005,1.89331,63.8,0.5,False,7.74,0.1,0,0.166608,3.18521,,,
CFM56-5B4/2,13.9508,0.663723,52.3255,-0.162181,74.2,3.25,False,22.8,0.1,0,20.6862,-0.850862,,,
CFM56-5B4/2P,15.5871,0.773359,20.8931,0.306281,80.2,2.5,False,10.6,0.15,0,7.56267,-0.403546,,,
CFM56-5B4/3,19.0123,0.678991,0.956773,1.6292,64.14,0.205,False,3.84,0.02,0,0.0446379,3.91342,,,
CFM56-5B4/P,25.0167,0.7933,0.749039,1.67447,46.8,0.9,False,9.2,0.2,0,0.687819,1.46346,,,
CFM56-5B5/3,17.2928,0.609194,0.937795,1.67202,83.54,0.175,False,7.1,0.03,0,0.0180731,4.66754,,,
CFM56-5B5/P,23.648,0.76058,0.703645,1.73828,60,0.95,False,12.4,0.2,0,0.576323,1.75087,,,
CFM56-5B6/2,12.8806,0.399085,6.20616,0.908484,92.2,8.33,False,6.8,0.15,0,0.309825,2.41684,,,
CFM56-5B6/2P,13.6737,0.514535,9.3996,0.704537,89.6,5.25,False,9.2,0.2,0,0.535678,1.83911,,,
CFM56-5B6/3,17.7344,0.624097,0.946863,1.65601,76.78,0.17,False,5.86,0.025,0,0.0254114,4.40922,,,
CFM56-5B6/P,23.9066,0.759842,0.685922,1.74927,55.4,0.95,False,11,0.2,0,0.592098,1.68332,,,
CFM56-5B7/3,19.0123,0.678991,0.956773,1.6292,64.14,0.205,False,3.84,0.02,0,0.0446379,3.91342,,,
CFM56-5B7/P,25.0167,0.7933,0.749039,1.67447,46.8,0.9,False,9.2,0.2,0,0.687819,1.46346,,,
CFM56-5B8/3,17.1998,0.606227,0.937443,1.67399,85.64,0.18,False,7.52,0.03,0,0.0149277,4.79211,,,
CFM56-5B8/P,21.5292,0.739829,0.796197,1.69387,65.8,0.8,False,13,0.1,0.729,0.715403,1.51603,,,
CFM56-5B9/2P,13.4626,0.569447,8.80983,0.711592,88.2,5.5,False,8.8,0.25,0,0.516564,1.81535,,,
CFM56-5B9/3,17.6626,0.622898,0.949134,1.65901,77.6,0.165,False,6.02,0.025,0,0.0236665,4.46807,,,
CFM56-5B9/P,21.8384,0.74744,0.887803,1.62256,60.8,0.8,False,11.8,0.1,0.794,0.753671,1.43782,,,
