icao,lat,lon,alt,country,name,location
SDEJ,-23.66751,-48.07579,2037,BR,Fazenda Guara Do Pinhal,Itapetininga
SDEM,-22.09804,-51.45267,1388,BR,Estancia Machado,Alvares Machado
SDEN,-27.16328,-48.62757,16,BR,Costa Esmeralda,Porto Belo
SDEO,-21.87286,-48.66311,1709,BR,Fazenda Entre Rios,Tabatinga
SDEP,-21.77905,-52.1478,974,BR,Presidente Epitacio,Presidente Epitacio
SDER,-20.76355,-50.85879,1207,BR,Fazenda Entre Rios,Pereira Barreto
SDES,-20.76477,-47.86112,2372,BR,Estancia Colorado,Orlandia
SDET,-23.10855,-47.72444,1643,BR,Tiete,Tiete
SDEX,-12.58413,-45.82975,2526,BR,Fazenda N. S. Do Carmo,Taguatinga
SDFA,-20.68164,-51.03453,1200,BR,Fazenda Bonanca,Pereira Barreto
SDFB,-20.42063,-48.57012,1755,BR,Fazenda Brumado,Barretos
SDFC,-20.48428,-49.18961,1673,BR,Fazenda Constancia,Nova Granada
SDFD,-20.27867,-50.21842,1640,BR,Fernandopolis,Fernandopolis
SDFE,-22.07167,-56.70285,633,BR,Fazenda Santo Antonio,Bela Vista
SDFF,-21.85119,-48.29702,1673,BR,Fazenda Fittipaldi Citrus,Araraquara
SDFH,-21.44404,-47.37573,2318,BR,Fazenda Amalia,Santa Rosa de Viterbo
SDFI,-21.65093,-48.27166,2257,BR,Fazenda Itaquere,Matao
SDFK,-22.06889,-52.16472,1233,BR,Fazenda Figueira,Presidente Epitacio
SDFL,-23.56873,-48.28531,2051,BR,Fazenda Santa Albana,Angatuba
SDFM,-22.28959,-52.26014,1082,BR,Fazenda Santa Maria,Teodoro Sampaio
SDFN,-23.47792,-49.54573,1702,BR,Fazenda Sao Francisco,Fartura
SDFT,-22.413,-46.81075,2152,BR,Virgulino De Oliveira,Itapira
SDFU,-21.87321,-52.16356,984,BR,Fazenda Ponte Funda,Presidente Epitacio
SDFX,-9.1565,-40.94279,1247,BR,Casa Nova,Petrolina
SDFY,-21.62998,-50.81248,1280,BR,Fazenda Lpameri,Osvaldo Cruz
SDGB,-20.27525,-48.18667,1988,BR,Usina Colorado,Guaira
SDGC,-22.18779,-49.65516,2182,BR,Garca,Garca
SDGF,-22.36895,-49.94798,1647,BR,Fazenda Fartura,Marilia
SDGJ,-21.90947,-49.85973,1748,BR,Fazenda Suissa,Lins
SDGK,-21.49679,-50.73575,1345,BR,Fazenda Gurucaia,Guararapes
SDGP,-23.22382,-48.79997,2099,BR,Hotel Fazenda Capricho,Avare
SDGR,-21.26583,-50.65263,1312,BR,Guararapes,Guararapes
SDGT,-22.52343,-50.04879,1896,BR,Fazenda Alvorada,Palmital
SDGU,-21.40878,-48.30491,2116,BR,Usina Bonfim,Guariba
SDGY,-20.92576,-50.74555,1181,BR,Fazenda Anhagai,Auriflama
SDHC,-21.8699,-49.98141,1292,BR,Fazenda Koga,Pompeia
SDHE,-22.49464,-46.84495,2493,BR,Fazenda Herdade,Itapira
SDHP,-21.16997,-53.28723,1168,BR,Modelo Ii,Ribas do Rio Pardo
SDHX,-30.74818,-51.53657,131,BR,D'Tapes,Tapes
SDIB,-22.16461,-46.77672,3018,BR,Irmaos Ribeiro,Espirito Santo do Pinhal
SDIC,-20.71499,-45.68882,2657,BR,Fazenda Capao Seco,Formiga
SDID,-24.13306,-49.33088,2598,BR,Itarare,Itarare
SDIG,-21.74506,-48.86108,1780,BR,Ibitinga,Ibitinga
SDIH,-23.56496,-46.07307,2467,BR,Fazenda Irohy,Biritiba Mirim
SDIL,-22.90716,-44.29231,10,BR,Fazenda Pedra Branca,Angra dos Reis
SDIM,-24.16225,-46.78853,13,BR,Itanhaem,Itanhaem
SDIN,-22.99878,-43.40281,3,BR,Clube Ceu,Nilopolis
SDIO,-21.60624,-48.83238,1739,BR,Itapolis,Itapolis
SDIP,-23.04483,-45.77804,1913,BR,Fazenda Centro De Voo A Vela Ipua,Cacapava
SDIR,1.88676,-62.02128,134,BR,Ajarani 2,Boa Vista
SDIU,-23.35332,-47.32777,2231,BR,Itu,Itu
SDIV,-20.37134,-47.77061,2044,BR,Ituverava,Ituverava
SDIZ,-20.15945,-49.93545,1656,BR,Fazenda Sao Paulo,Cardoso
SDJA,-22.19853,-47.86696,2569,BR,Dr Augusto De A Botelho,Itirapina
SDJC,-21.23326,-48.28748,2021,BR,Jaboticabal,Jaboticabal
SDJF,-23.84473,-48.45145,2309,BR,Fazenda Jequitiba,Buri
