ts,ff_l,ff_r,n1_l,n1_r,n2_l,n2_r,roll,acc,alt,roc,tas,sat,spress,cas,mach,alt_gnss,lat,lon,gs,hdg,trk,wspd,wagl,mass,fuelburn
1154,0.08640751381031071,0.09419748726494828,83.94912826169812,84.17649337574478,86.45933442405142,86.76345156462683,-0.42138906625600964,-0.00909336207463191,9000.0,29.0,277.3359375,-2.5,21.78875,242.8515625,0.432578125,8768.0,51.81119251996279,5.371407950296998,312.0,90.75421142578125,90.791015625,35.0,-87.5390625,5810.639881383393,168.30707861660727
1155,0.08652355572778223,0.09433591291316665,83.9675289543786,84.18488975338913,86.47108625620072,86.76910572526873,-0.5016737717848557,-0.010999775551849937,9000.375,15.0,277.40234375,-2.5,21.78825,242.9296875,0.4326796875,8769.0,51.811172822490335,5.37373342551291,311.875,90.68280029296875,90.791015625,35.0,-87.890625,5810.459021914752,168.48793808524823
1156,0.08642888265958198,0.09437680046026221,83.9598431926741,84.20034832046906,86.45970441570364,86.77257796899588,-0.4568833571213942,-0.002532328679011417,9000.4375,-5.0,277.35546875,-2.5,21.78825,242.8515625,0.43256249999999996,8769.0,51.81115304119885,5.37605931982398,311.875,90.71575927734375,90.76904296875,35.0,-87.890625,5810.2782162316325,168.66874376836807
1157,0.08641368581753925,0.09439240639679099,83.94898358827761,84.19715521637912,86.45657363761906,86.77603453624754,-0.3964585524338942,-0.022054280677208528,9001.4375,54.0,277.44140625,-2.5,21.787250000000004,242.9375,0.4327421875,8770.0,51.8111333437264,5.378384459763765,311.875,90.87396240234375,90.7470703125,35.0,-87.890625,5810.097410139418,168.8495498605824
1158,0.08643922455025911,0.09440534631842144,83.95588529038297,84.20271783026165,86.46228419748806,86.77542198819249,-0.3759648249699519,-0.013398320828951328,9000.4375,-53.0,277.27734375,-2.5,21.787999999999997,242.7890625,0.43246875,8769.0,51.81111347861588,5.380709515884519,311.75,90.76080322265625,90.7470703125,35.0,-87.890625,5809.916565568549,169.0303944314511
1159,0.08654367368323235,0.0942538319530625,83.98080646035586,84.18722451800625,86.47209235520974,86.76434808761688,-0.43649526742788464,-0.009760975999098557,9000.6875,-20.0,277.66796875,-2.5,21.788,243.1640625,0.4331328125,8770.0,51.81109378114343,5.383034823462367,311.75,90.8140869140625,90.7470703125,35.0,-87.890625,5809.735768062913,169.2111919370874
1160,0.08655677957001853,0.09435085776087666,83.9907678231678,84.1936677380997,86.47530236688705,86.772106624107,-0.27391873873197115,-0.008126472942645731,9001.75,59.0,277.74609375,-2.5,21.787000000000003,243.203125,0.4331875,8770.0,51.81107433512807,5.3853589575737715,311.625,90.85693359375,90.7470703125,34.5,-87.890625,5809.554860425582,169.3920995744183
1161,0.08349313687940967,0.09090072739605823,83.29872860920699,83.506299082207,85.98624344507847,86.27186630939482,-0.32050499549278844,-0.05944066044734072,9000.9375,-43.0,277.6796875,-2.5,21.787750000000003,243.15625,0.43313281249999996,8770.0,51.81105488911271,5.387682504951954,311.625,90.91461181640625,90.7470703125,34.0,-88.2421875,5809.380466561306,169.56649343869375
1162,0.03879377849277022,0.03637072779726482,69.27398323646308,68.79027315512151,77.21806432139485,77.07857358448535,-0.2948350172776442,-0.5920584451528697,9000.4375,-32.0,276.62109375,-2.5,21.7885,242.109375,0.43128906250000004,8771.0,51.811035107821226,5.390003453940153,310.75,90.8140869140625,90.7470703125,34.0,-88.59375,5809.305302055016,169.6416579449838
1163,0.022369798335772254,0.021447282362650744,56.52931523607334,55.84698128147134,69.34463500317004,69.0256052339713,-0.3981487567608173,-0.8673686149010291,8998.5,-125.0,274.87109375,-2.375,21.791,240.546875,0.4285000000000001,8772.0,51.8110157456249,5.3923150151968,309.0,90.911865234375,90.7470703125,34.0,-88.59375,5809.261484974318,169.68547502568222
